geo_lat,geo_long,om_altura,om_circuitos,om_funcionamiento,om_materialL,om_materialS,om_potencia,om_proteccion,om_tipoLampara,om_tipoLuz,om_tipoSoporte,uri,barrio,distrito
39.465972373726004,-6.385209880377751,8,5,S,P,F,150,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11180,El Peru,Centro
39.466517723376334,-6.385206724584747,6,5,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11181,El Peru,Centro
39.466654874224794,-6.385554441427735,6,5,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11182,El Peru,Centro
39.46679699776828,-6.385934797605054,6,5,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11183,El Peru,Centro
39.46672601946527,-6.385983955835327,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11184,El Peru,Centro
39.46662746413791,-6.385749673890525,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11185,El Peru,Centro
39.466518836910915,-6.38544465320187,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11186,El Peru,Centro
39.4664484338439,-6.385236672674678,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11187,El Peru,Centro
39.46668414286398,-6.384970726816099,8,5,S,P,F,150,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11188,El Peru,Centro
39.46691367116017,-6.385864479778669,6,5,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11189,El Peru,Centro
39.467034575383344,-6.385793696445232,6,5,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11190,El Peru,Centro
39.46717101506809,-6.3856910270931095,6,5,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11191,El Peru,Centro
39.466824422365484,-6.386305772536889,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11192,El Peru,Centro
39.46679175842543,-6.386361701860442,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11193,El Peru,Centro
39.46690706103026,-6.386020942385077,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11194,El Peru,Centro
39.466957012369214,-6.386073778857477,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11195,El Peru,Centro
39.46672601946527,-6.385983955835327,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11196,El Peru,Centro
39.46694918677243,-6.3861971606341275,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11197,El Peru,Centro
39.46702805768091,-6.386216090349262,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11198,El Peru,Centro
39.467017398952756,-6.386025017096747,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11199,El Peru,Centro
39.467147194073775,-6.385763037444094,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11200,El Peru,Centro
39.467176146457106,-6.3858248659627375,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11201,El Peru,Centro
39.467131018017376,-6.385892203158434,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11202,El Peru,Centro
39.467150054794935,-6.385984491247339,6,4,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11203,El Peru,Centro
39.46797826649531,-6.382431639808691,7,3,S,P,F,150,F,VSAP,AC,Br,http://opendata.caceres.es/recurso/energia/farolas/Farola/11204,Argentina,Centro
39.46885850234941,-6.382135426638272,7,3,S,P,F,150,F,VSAP,AC,Br,http://opendata.caceres.es/recurso/energia/farolas/Farola/11205,Argentina,Centro
39.46839632386857,-6.382031185225616,7,3,S,P,F,150,F,VSAP,AC,Br,http://opendata.caceres.es/recurso/energia/farolas/Farola/11206,Argentina,Centro
39.46937734430144,-6.38907139750726,5,3,S,P,F,125,F,VMCC,E,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11207,Cabezarrubia,Oeste
39.469414239580466,-6.389035976445686,5,3,S,P,F,125,F,VMCC,E,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11208,Cabezarrubia,Oeste
39.468942611366316,-6.390114890869985,10,3,S,P,F,150,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11209,Cabezarrubia,Oeste
39.468891466393075,-6.388099793229162,4,1,S,P,F,125,F,VMCC,E,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11210,Cabezarrubia,Oeste
39.46885724460005,-6.388086485261059,4,1,S,P,F,125,F,VMCC,E,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11211,Cabezarrubia,Oeste
39.46889244920759,-6.388143522545213,4,1,S,P,F,125,F,VMCC,E,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11212,Cabezarrubia,Oeste
39.46901011950491,-6.388012684915926,4,1,S,P,F,125,F,VMCC,E,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11213,Cabezarrubia,Oeste
39.469014650054675,-6.388046555240593,4,1,S,P,F,125,F,VMCC,E,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11214,Cabezarrubia,Oeste
39.46902441862453,-6.387978108926793,4,1,S,P,F,125,F,VMCC,E,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11215,Cabezarrubia,Oeste
39.466642975314095,-6.384048180741684,10,3,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11216,El Peru,Centro
39.466746684980116,-6.384302021374918,10,3,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11217,El Peru,Centro
39.46684651955095,-6.384551144918296,10,3,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11218,El Peru,Centro
39.46691865515274,-6.384698588273763,10,3,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11219,El Peru,Centro
39.46693671941475,-6.384663871643555,10,3,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11220,Argentina,Centro
39.466930827299116,-6.384737034131454,10,3,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11221,El Peru,Centro
39.46699179900916,-6.38493412365022,10,5,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11222,El Peru,Centro
39.46709174160558,-6.385188107963072,10,5,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11223,El Peru,Centro
39.46718780823907,-6.385437375120173,10,5,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11224,El Peru,Centro
39.46771259387777,-6.388454697767521,10,1,S,P,F,150,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11225,Cabezarrubia,Oeste
39.46762439334861,-6.388219718273364,10,1,S,P,F,150,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11226,Cabezarrubia,Oeste
39.46778686158005,-6.387527675399399,10,1,S,P,F,150,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11227,Cabezarrubia,Oeste
39.467700520325664,-6.387710830651627,10,1,S,P,F,150,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11228,Cabezarrubia,Oeste
39.467700520325664,-6.387710830651627,10,1,S,P,F,150,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11229,Cabezarrubia,Oeste
39.46728235762497,-6.38876082217908,6,1,N,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11230,Cabezarrubia,Oeste
39.467417911679206,-6.386285877903331,12,1,S,P,F,250,F,VSAP,AC,Ba,http://opendata.caceres.es/recurso/energia/farolas/Farola/11231,Cabezarrubia,Oeste
39.466310590756784,-6.384882655964185,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11232,El Peru,Centro
39.466189181968254,-6.384800478941141,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11233,El Peru,Centro
39.466117774971885,-6.384586769284109,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11234,El Peru,Centro
39.46618585964578,-6.384531873412295,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11235,El Peru,Centro
39.46604313297952,-6.384208854290828,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11236,El Peru,Centro
39.46600828628802,-6.384475324394801,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11237,El Peru,Centro
39.46603321221385,-6.384898516070078,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11238,El Peru,Centro
39.465928273068975,-6.38475747748056,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11239,El Peru,Centro
39.46589805540444,-6.384545258077115,6,2,S,P,F,125,F,VMCC,ER,C,http://opendata.caceres.es/recurso/energia/farolas/Farola/11240,El Peru,Centro
