uri,om_funcionamiento,om_proteccion,om_tipoLuz,om_materialS,geo_long,om_potencia,om_tipoLampara,geo_lat,om_altura,om_tipoSoporte,om_circuitos,om_materialL
http://opendata.caceres.es/recurso/energia/farolas/Farola/11186,S,F,ER,F,-6.38544465320187,125,VMCC,39.466518836910915,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11187,S,F,ER,F,-6.385236672674678,125,VMCC,39.4664484338439,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11188,S,F,AC,F,-6.384970726816099,150,VSAP,39.46668414286398,8,Ba,5,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11189,S,F,ER,F,-6.385864479778669,125,VMCC,39.46691367116017,6,C,5,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11190,S,F,ER,F,-6.385793696445232,125,VMCC,39.467034575383344,6,C,5,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11191,S,F,ER,F,-6.38569102709311,125,VMCC,39.46717101506809,6,C,5,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11192,S,F,ER,F,-6.386305772536889,125,VMCC,39.466824422365484,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11193,S,F,ER,F,-6.386361701860442,125,VMCC,39.46679175842543,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11194,S,F,ER,F,-6.386020942385077,125,VMCC,39.46690706103026,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11195,S,F,ER,F,-6.386073778857477,125,VMCC,39.466957012369214,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11196,S,F,ER,F,-6.385983955835327,125,VMCC,39.46672601946527,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11197,S,F,ER,F,-6.386197160634127,125,VMCC,39.46694918677243,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11198,S,F,ER,F,-6.386216090349262,125,VMCC,39.46702805768091,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11199,S,F,ER,F,-6.386025017096747,125,VMCC,39.467017398952756,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11200,S,F,ER,F,-6.385763037444094,125,VMCC,39.467147194073775,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11201,S,F,ER,F,-6.385824865962737,125,VMCC,39.467176146457106,6,C,4,P
